macro_f1,precision_attack,recall_attack,f1_attack,fpr,average_precision,tn,fp,fn,tp,algorithm,feature_set,n_features,threshold,median_detection_latency_s
0.5032775536816367,0.13130252100840337,0.014875639652505058,0.02672367717797969,0.0037252755667869387,0.052505187798226764,221170,827,8278,125,IsolationForest,B1,58,0.6233675410574613,10.0
0.5434438634745151,0.4365832614322692,0.06021658931334047,0.10583559924701945,0.0029414811911872684,0.11166054176860593,221344,653,7897,506,IsolationForest,B2,28,0.5523629745905507,63.5
0.5023923831407026,0.0782608695652174,0.01606569082470546,0.02665876777251185,0.007162258949445263,0.05321603757241241,220407,1590,8268,135,IsolationForest,B3,86,0.5900864605023467,44.0
0.6401982299984417,0.752422480620155,0.18481494704272283,0.2967421419700009,0.002301832907651905,0.246830985460812,221486,511,6850,1553,IsolationForest,M1,323,0.5966064426367385,72.0
0.5020933003583267,0.13703703703703704,0.013209568011424491,0.024096385542168676,0.00314869119852971,0.07330541115678427,221298,699,8292,111,RandomForest,B1,58,,888.0
0.4928559068416235,0.020294117647058824,0.008211353088182792,0.011691942726425484,0.015004707270818976,0.048875712101299255,218666,3331,8334,69,RandomForest,B2,28,,105.0
0.49401770654082827,0.10616438356164383,0.0036891586338212543,0.007130534790109258,0.0011756915633995054,0.07033851935250321,221736,261,8372,31,RandomForest,B3,86,,948.0
0.49065313124524695,0.0,0.0,0.0,0.00023874196498150876,0.060417444263169626,221944,53,8403,0,RandomForest,M1,323,,
0.533926417640927,0.09083507792509886,0.2788289896465548,0.13702956399684182,0.10563656265625211,0.08867064250070092,198546,23451,6060,2343,GradientBoosting,B1,58,,31.0
0.48813557830754306,0.03213786679087098,0.0903248839700107,0.04740787008119925,0.10296535538768542,0.04426966865443012,199139,22858,7644,759,GradientBoosting,B2,28,,21.0
0.5317385731785987,0.08905630163409398,0.29120552183743903,0.13639910813823858,0.11274927138655026,0.08022407113722839,196967,25030,5956,2447,GradientBoosting,B3,86,,38.0
0.5358305948512924,0.09151439299123905,0.21754135427823396,0.12883219395306222,0.0817443478965932,0.10692890947341357,203850,18147,6575,1828,GradientBoosting,M1,323,,68.0
